artist,song,song_name_len,duration_ms,explicit,year,popularity,hot,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,pop,rock,hiphop,dance,folk,rnb,latin
Britney Spears,Oops!...I Did It Again,22,211160,FALSE,2000,77,1,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77E-05,0.355,0.894,95.053,pop,1,0,0,0,0,0,0
blink-182,All The Small Things,20,167066,FALSE,1999,79,1,0.434,0.897,0,-4.918,1,0.0488,0.0103,0,0.612,0.684,148.726,"rock, pop",1,1,0,0,0,0,0
Faith Hill,Breathe,7,250546,FALSE,1999,66,0,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,"pop, country",1,0,0,0,0,0,0
Bon Jovi,It's My Life,12,224493,FALSE,2000,78,1,0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35E-05,0.347,0.544,119.992,"rock, metal",0,1,0,0,0,0,0
*NSYNC,Bye Bye Bye,11,200560,FALSE,2000,65,0,0.614,0.928,8,-4.806,0,0.0516,0.0408,0.00104,0.0845,0.879,172.656,pop,1,0,0,0,0,0,0
Sisqo,Thong Song,10,253733,TRUE,1999,69,0,0.706,0.888,2,-6.959,1,0.0654,0.119,9.64E-05,0.07,0.714,121.549,"hip hop, pop, R&B",1,0,1,0,0,1,0
Eminem,The Real Slim Shady,19,284200,TRUE,2000,86,1,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,hip hop,0,0,1,0,0,0,0
Robbie Williams,Rock DJ,7,258560,FALSE,2000,68,0,0.708,0.772,7,-4.264,1,0.0322,0.0267,0,0.467,0.861,103.035,"pop, rock",1,1,0,0,0,0,0
Destiny's Child,Say My Name,11,271333,FALSE,1999,75,0,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,"pop, R&B",1,0,0,0,0,1,0
Modjo,Lady - Hear Me Tonight,22,307153,FALSE,2001,77,1,0.72,0.808,6,-5.627,1,0.0379,0.00793,0.0293,0.0634,0.869,126.041,Dance/Electronic,0,0,0,1,0,0,0
Gigi D'Agostino,L'Amour Toujours,16,238759,FALSE,2011,1,0,0.617,0.728,7,-7.932,1,0.0292,0.0328,0.0482,0.36,0.808,139.066,pop,1,0,0,0,0,0,0
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,48,268863,FALSE,1999,56,0,0.745,0.958,7,-9.664,1,0.0287,0.0813,0.324,0.533,0.96,129.962,pop,1,0,0,0,0,0,0
Bomfunk MC's,Freestyler,10,306333,FALSE,2000,55,0,0.822,0.922,11,-5.798,0,0.0989,0.0291,0.325,0.252,0.568,163.826,pop,1,0,0,0,0,0,0
Sting,Desert Rose,11,285960,FALSE,1999,62,0,0.586,0.659,0,-7.92,0,0.0304,0.011,0,0.106,0.147,111.989,"rock, pop",1,1,0,0,0,0,0
Melanie C,Never Be The Same Again,23,294200,FALSE,1999,61,0,0.689,0.685,3,-5.153,1,0.0478,0.0921,0,0.119,0.398,160.067,"pop, Dance/Electronic",1,0,0,1,0,0,0
Aaliyah,Try Again,9,284000,FALSE,2002,53,0,0.797,0.622,6,-5.642,0,0.29,0.0807,0,0.0841,0.731,93.02,"hip hop, pop, R&B",1,0,1,0,0,1,0
Anastacia,I'm Outta Love - Radio Edit,27,245400,FALSE,1999,64,0,0.761,0.716,10,-5.8,0,0.056,0.396,0,0.0771,0.649,119.41,pop,1,0,0,0,0,0,0
Alice Deejay,Better Off Alone,16,214883,FALSE,2000,73,0,0.671,0.88,8,-6.149,0,0.0552,0.00181,0.691,0.285,0.782,136.953,pop,1,0,0,0,0,0,0
Gigi D'Agostino,The Riddle,10,285426,FALSE,1999,64,0,0.74,0.876,6,-6.87,0,0.0369,0.0173,0.00152,0.0785,0.825,127.002,pop,1,0,0,0,0,0,0
Dr. Dre,The Next Episode,16,161506,TRUE,1999,82,1,0.922,0.909,10,-2.429,0,0.27,0.0281,0,0.0856,0.309,95.295,hip hop,0,0,1,0,0,0,0
Linkin Park,In the End,10,216880,FALSE,2000,83,1,0.556,0.864,3,-5.87,0,0.0584,0.00958,0,0.209,0.4,105.143,"rock, metal",0,1,0,0,0,0,0
Tom Jones,Sexbomb,7,211893,FALSE,1999,65,0,0.801,0.876,8,-3.94,0,0.0446,0.144,1.38E-05,0.104,0.932,122.979,"rock, Folk/Acoustic, easy listening",0,1,0,0,1,0,0
Sonique,It Feels So Good,16,240866,FALSE,2000,62,0,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,pop,1,0,0,0,0,0,0
M.O.P.,Cold as Ice,11,244466,TRUE,2000,54,0,0.656,0.88,11,-5.425,0,0.143,0.0421,0,0.294,0.758,85.565,hip hop,0,0,1,0,0,0,0
Melanie C,I Turn To You,13,352173,FALSE,1999,54,0,0.522,0.803,1,-5.825,1,0.0327,0.00117,0.00167,0.31,0.0783,135.205,"pop, Dance/Electronic",1,0,0,1,0,0,0
Limp Bizkit,Take A Look Around,18,321040,FALSE,2000,72,0,0.425,0.852,11,-5.607,1,0.046,0.0175,0.306,0.0935,0.512,101.968,metal,0,0,0,0,0,0,0
Darude,Sandstorm,9,225493,FALSE,2001,69,0,0.528,0.965,11,-7.984,0,0.0465,0.141,0.985,0.0797,0.587,136.065,"pop, Dance/Electronic",1,0,0,1,0,0,0
Da Brat,What'chu Like (feat. Tyrese),28,221160,TRUE,2000,53,0,0.879,0.681,10,-8.951,0,0.24,0.017,0,0.0669,0.817,99.974,"hip hop, pop, R&B",1,0,1,0,0,1,0
Moloko,The Time Is Now,15,318280,FALSE,2000,54,0,0.682,0.743,9,-10.644,0,0.165,0.35,0.000129,0.277,0.546,127.962,"pop, Dance/Electronic",1,0,0,1,0,0,0
Chicane,Don't Give Up,13,210786,FALSE,2016,47,0,0.644,0.72,10,-9.635,0,0.0419,0.00145,0.504,0.0839,0.53,132.017,Dance/Electronic,0,0,0,1,0,0,0
DMX,Party Up,8,268866,TRUE,1999,71,0,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,"hip hop, pop",1,0,1,0,0,0,0
Debelah Morgan,Dance with Me,13,220106,FALSE,2000,49,0,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,"pop, R&B",1,0,0,0,0,1,0
Madonna,Music,5,225973,FALSE,2000,58,0,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,pop,1,0,0,0,0,0,0
Ruff Endz,No More,7,242560,FALSE,2000,52,0,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56E-06,0.0602,0.927,97.004,R&B,0,0,0,0,0,1,0
Britney Spears,Born to Make You Happy,22,243533,FALSE,1999,58,0,0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,pop,1,0,0,0,0,0,0
Montell Jordan,Get It On Tonite,16,276266,FALSE,1999,59,0,0.813,0.491,10,-9.923,0,0.077,0.241,4.61E-05,0.0817,0.868,99.008,"hip hop, pop, R&B",1,0,1,0,0,1,0
Kylie Minogue,Spinning Around,15,207866,FALSE,2000,55,0,0.761,0.662,6,-7.645,0,0.0548,0.292,6.19E-05,0.0956,0.631,120.043,"pop, Dance/Electronic",1,0,0,1,0,0,0
JAY-Z,Big Pimpin',11,283066,TRUE,1999,69,0,0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,hip hop,0,0,1,0,0,0,0
LeAnn Rimes,I Need You,10,229826,FALSE,2001,61,0,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58E-05,0.118,0.564,144.705,"pop, country",1,0,0,0,0,0,0
Avant,Separated,9,255600,FALSE,2000,55,0,0.798,0.48,0,-5.564,1,0.0276,0.247,0,0.237,0.643,108.241,"pop, R&B",1,0,0,0,0,1,0
Enrique Iglesias,Be With You,11,219360,FALSE,1999,54,0,0.683,0.866,1,-5.436,0,0.0329,0.0395,0.00161,0.0483,0.542,121.996,"pop, latin",1,0,0,0,0,0,1
Toni Braxton,He Wasn't Man Enough,20,261933,FALSE,2000,66,0,0.739,0.947,11,-1.916,0,0.0411,0.00916,3.14E-05,0.326,0.766,88.009,"pop, R&B",1,0,0,0,0,1,0
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,52,175893,FALSE,2000,36,0,0.852,0.75,8,-5.153,1,0.168,0.434,0,0.265,0.934,72.016,"hip hop, pop, R&B",1,0,1,0,0,1,0
Dr. Dre,Forgot About Dre,16,222293,TRUE,1999,79,1,0.924,0.74,8,-1.299,1,0.0774,0.0827,0,0.163,0.621,133.974,hip hop,0,0,1,0,0,0,0
Missy Elliott,Hot Boyz,8,215466,TRUE,1998,49,0,0.727,0.445,1,-11.241,1,0.291,0.339,0,0.18,0.527,81.125,"hip hop, pop, R&B",1,0,1,0,0,1,0
Backstreet Boys,Show Me the Meaning of Being Lonely,35,234960,FALSE,1999,68,0,0.63,0.625,6,-5.088,0,0.0252,0.231,0,0.0765,0.683,167.998,pop,1,0,0,0,0,0,0
Samantha Mumba,Gotta Tell You,14,201946,FALSE,2018,43,0,0.729,0.632,0,-8.75,0,0.0279,0.191,0,0.166,0.774,109.981,pop,1,0,0,0,0,0,0
M??a,Case Of The Ex (Whatcha Gonna Do),33,236906,FALSE,2000,59,0,0.772,0.688,1,-4.715,0,0.0405,0.0548,9.79E-05,0.0725,0.348,98,"pop, R&B",1,0,0,0,0,1,0
Mary Mary,Shackles (Praise You),21,198346,FALSE,2000,64,0,0.779,0.834,7,-2.773,1,0.162,0.0343,0,0.0886,0.8,100.46,R&B,0,0,0,0,0,1,0
Next,Wifey,5,243666,FALSE,2004,52,0,0.829,0.652,7,-8.693,0,0.108,0.067,0,0.0812,0.726,99.581,"hip hop, pop, R&B",1,0,1,0,0,1,0
Janet Jackson,Doesn't Really Matter,21,265026,FALSE,2001,47,0,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,"pop, R&B",1,0,0,0,0,1,0
Ricky Martin,She Bangs - English Version,27,280626,FALSE,2000,60,0,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51E-06,0.373,0.858,143.866,"pop, latin",1,0,0,0,0,0,1
Jagged Edge,He Can't Love U,15,244053,FALSE,2000,55,0,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,"hip hop, pop, R&B",1,0,1,0,0,1,0
Sisqo,Incomplete,10,274226,TRUE,1999,60,0,0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311,"hip hop, pop, R&B",1,0,1,0,0,1,0
JAY-Z,I Just Wanna Love U (Give It 2 Me),34,227866,TRUE,2000,59,0,0.8,0.922,4,-5.125,0,0.24,0.301,9.31E-06,0.0352,0.801,98.631,hip hop,0,0,1,0,0,0,0
Mariah Carey,Thank God I Found You (feat. Joe & 98??),40,257360,FALSE,1999,59,0,0.348,0.532,10,-5.882,1,0.0331,0.592,0,0.106,0.148,129.297,"pop, R&B",1,0,0,0,0,1,0
Baha Men,Who Let The Dogs Out,20,198400,FALSE,2000,65,0,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,R&B,0,0,0,0,0,1,0
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",46,243733,TRUE,1999,63,0,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73E-05,0.0419,0.868,103.032,"pop, R&B",1,0,0,0,0,1,0
LeAnn Rimes,Can't Fight The Moonlight,25,215506,FALSE,2001,65,0,0.628,0.834,6,-6.341,0,0.0497,0.403,0,0.051,0.626,97.865,"pop, country",1,0,0,0,0,0,0
Oasis,Go Let It Out,13,278666,FALSE,2000,0,0,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51E-05,0.56,0.628,84.192,"Folk/Acoustic, rock",0,1,0,0,1,0,0
DJ ??tzi,Hey Baby (Radio Mix),20,219240,FALSE,2010,58,0,0.666,0.968,10,-3.196,1,0.046,0.123,0,0.347,0.834,135.099,"pop, easy listening, Dance/Electronic",1,0,0,1,0,0,0
P!nk,Most Girls,10,298960,FALSE,2000,52,0,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop,1,0,0,0,0,0,0
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),57,199480,FALSE,2011,0,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0,0.103,0.373,117.338,"pop, R&B",1,0,0,0,0,1,0
Craig David,Fill Me In,10,257200,FALSE,2000,60,0,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B",1,0,1,0,0,1,0
Christina Aguilera,I Turn to You,13,273706,FALSE,1999,61,0,0.599,0.47,1,-8.356,1,0.0376,0.38,0,0.111,0.298,127.177,pop,1,0,0,0,0,0,0
Madonna,American Pie,12,273533,FALSE,2000,58,0,0.631,0.734,5,-7.48,0,0.036,0.348,0,0.135,0.591,124.036,pop,1,0,0,0,0,0,0
Red Hot Chili Peppers,Otherside,9,255373,FALSE,1999,78,1,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,rock,0,1,0,0,0,0,0
Sammie,I Like It,9,251040,FALSE,2000,55,0,0.826,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,"hip hop, pop, R&B",1,0,1,0,0,1,0
Craig David,7 Days,6,235133,FALSE,2000,70,0,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014,"hip hop, pop, R&B",1,0,1,0,0,1,0
Santana,Maria Maria (feat. The Product G&B),35,261973,FALSE,1999,66,0,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,"rock, blues, latin",0,1,0,0,0,0,1
Kandi,Don't Think I'm Not,19,243533,FALSE,2000,55,0,0.859,0.622,11,-8.196,1,0.0445,0.0661,0,0.0394,0.433,134.007,"pop, R&B",1,0,0,0,0,1,0
P!nk,There You Go,12,202800,FALSE,2000,55,0,0.822,0.847,10,-6.729,0,0.0917,0.0854,0,0.0452,0.668,107.908,pop,1,0,0,0,0,0,0
Vengaboys,Shalala Lala,12,214819,FALSE,2000,58,0,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop,1,0,0,0,0,0,0
Ronan Keating,Life Is A Rollercoaster,23,234826,FALSE,2000,59,0,0.655,0.791,0,-8.923,1,0.0302,0.1,0.000124,0.334,0.862,118.981,"pop, rock",1,1,0,0,0,0,0
Madison Avenue,Don't Call Me Baby,18,228140,FALSE,1999,56,0,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic,0,0,0,1,0,0,0
Destiny's Child,"Jumpin', Jumpin'",16,230200,FALSE,1999,70,0,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,"pop, R&B",1,0,0,0,0,1,0
C??line Dion,That's the Way It Is,20,241373,FALSE,1999,64,0,0.634,0.886,9,-5.424,1,0.0434,0.154,0,0.118,0.577,93.04,pop,1,0,0,0,0,0,0
3 Doors Down,Kryptonite,10,233933,FALSE,2000,78,1,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.10E-05,0.168,0.543,99.009,"pop, rock, metal",1,1,0,0,0,0,0
Carl Thomas,I Wish,6,226760,FALSE,2000,52,0,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82E-05,0.107,0.224,89.824,"pop, R&B",1,0,0,0,0,1,0
Mystikal,Shake Ya Ass,12,256973,TRUE,2000,57,0,0.914,0.607,7,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054,"hip hop, pop",1,0,1,0,0,0,0
Fuel,Hemorrhage (In My Hands),24,236866,FALSE,2000,49,0,0.313,0.831,1,-3.894,1,0.0404,0.000127,0.000341,0.24,0.332,152.034,"rock, pop, metal",1,1,0,0,0,0,0
Donell Jones,Where I Wanna Be,16,253626,FALSE,1999,57,0,0.664,0.396,5,-9.131,0,0.0298,0.52,0,0.268,0.453,102.053,"pop, R&B",1,0,0,0,0,1,0
Savage Garden,Crash and Burn,14,281466,FALSE,1999,54,0,0.581,0.607,4,-8.458,1,0.028,0.189,1.60E-06,0.0882,0.213,102.03,pop,1,0,0,0,0,0,0
Westlife,My Love,7,231760,FALSE,2000,68,0,0.491,0.593,0,-5.975,1,0.0255,0.098,0,0.257,0.328,144.142,pop,1,0,0,0,0,0,0
All Saints,Pure Shores,11,268746,FALSE,2000,62,0,0.631,0.664,6,-9.197,1,0.0242,0.0498,0.00042,0.0696,0.407,100.618,pop,1,0,0,0,0,0,0
Destiny's Child,"Independent Women, Pt. 1",24,221133,FALSE,2001,65,0,0.73,0.602,6,-3.782,0,0.206,0.362,3.69E-06,0.169,0.927,97.954,"pop, R&B",1,0,0,0,0,1,0
*NSYNC,It's Gonna Be Me,16,191040,FALSE,2000,60,0,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24E-06,0.0584,0.882,165.09,pop,1,0,0,0,0,0,0
Erykah Badu,Bag Lady,8,348893,FALSE,2000,54,0,0.724,0.416,5,-8.964,0,0.0841,0.365,0,0.0969,0.578,151.181,"hip hop, R&B",0,0,1,0,0,1,0
Marc Anthony,You Sang To Me,14,347106,FALSE,1999,56,0,0.578,0.894,10,-5.42,1,0.0296,0.0103,2.66E-06,0.216,0.741,165.98,"pop, latin",1,0,0,0,0,0,1
Matchbox Twenty,Bent,4,256133,FALSE,2000,54,0,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85E-06,0.375,0.527,95.468,"pop, rock",1,1,0,0,0,0,0
Gabrielle,Rise,4,219093,FALSE,2001,60,0,0.558,0.481,8,-9.487,1,0.026,0.315,8.83E-06,0.09,0.631,144.673,"pop, R&B",1,0,0,0,0,1,0
Backstreet Boys,Shape of My Heart,17,230093,FALSE,2000,70,0,0.575,0.786,9,-4.353,1,0.0296,0.252,0,0.159,0.518,96.102,pop,1,0,0,0,0,0,0
Creed,With Arms Wide Open,19,274800,FALSE,1999,64,0,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,"pop, rock, metal",1,1,0,0,0,0,0
The Corrs,Breathless,10,207506,FALSE,2000,68,0,0.607,0.82,11,-7.754,1,0.0597,0.0541,6.80E-05,0.269,0.768,126.988,"pop, Folk/Acoustic",1,0,0,0,1,0,0
Joe,I Wanna Know,12,296693,FALSE,2000,65,0,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09E-05,0.431,0.599,136.086,"pop, R&B",1,0,0,0,0,1,0
Wheatus,Teenage Dirtbag,15,241666,TRUE,1999,71,0,0.625,0.85,4,-3.904,1,0.0495,0.346,0.000233,0.174,0.633,94.661,set(),0,0,0,0,0,0,0
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,53,203333,FALSE,1999,64,0,0.829,0.915,8,-3.205,1,0.106,0.226,1.25E-05,0.246,0.779,118.903,pop,1,0,0,0,0,0,0
Creed,Higher,6,316733,FALSE,1999,69,0,0.459,0.83,2,-6.254,1,0.0364,5.15E-05,0.00014,0.206,0.431,155.827,"pop, rock, metal",1,1,0,0,0,0,0
Britney Spears,Lucky,5,206226,FALSE,2000,65,0,0.765,0.791,8,-5.707,1,0.0317,0.262,0.000154,0.0669,0.966,95.026,pop,1,0,0,0,0,0,0
Nelly,Country Grammar (Hot Shit),26,287000,TRUE,2000,68,0,0.865,0.664,2,-6.822,1,0.108,0.00689,0,0.142,0.565,162.831,"hip hop, pop, R&B",1,0,1,0,0,1,0
Shaggy,It Wasn't Me,12,227600,FALSE,2000,76,1,0.853,0.606,0,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,"hip hop, pop",1,0,1,0,0,0,0
Destiny's Child,Survivor,8,254026,FALSE,2001,70,0,0.514,0.911,1,-2.027,0,0.41,0.0559,0,0.775,0.619,161.109,"pop, R&B",1,0,0,0,0,1,0
Eminem,Stan,4,404106,TRUE,2000,83,1,0.78,0.768,6,-4.325,0,0.238,0.0371,2.34E-06,0.518,0.507,80.063,hip hop,0,0,1,0,0,0,0
Kylie Minogue,Can't Get You out of My Head,28,230640,FALSE,2001,73,0,0.766,0.563,9,-7.516,0,0.0339,0.0263,0.683,0.115,0.964,126.007,"pop, Dance/Electronic",1,0,0,1,0,0,0
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",47,264893,FALSE,2001,68,0,0.76,0.801,5,-3.769,1,0.0534,0.0144,1.49E-05,0.665,0.653,109.919,pop,1,0,0,0,0,0,0
Nelly Furtado,I'm Like A Bird,15,243160,FALSE,2000,1,0,0.622,0.608,10,-5.085,1,0.036,0.138,5.38E-06,0.273,0.607,89.661,"hip hop, pop, latin",1,0,1,0,0,0,1
Shakira,"Whenever, Wherever",18,196160,FALSE,2001,74,0,0.794,0.832,1,-4.862,0,0.0407,0.237,1.14E-05,0.203,0.871,107.657,"pop, latin",1,0,0,0,0,0,1
Jimmy Eat World,The Middle,10,165853,FALSE,2001,78,1,0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,"rock, pop",1,1,0,0,0,0,0
Train,Drops of Jupiter (Tell Me),26,259933,FALSE,2001,77,1,0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,pop,1,0,0,0,0,0,0
Geri Halliwell,It's Raining Men,16,254640,FALSE,2001,62,0,0.637,0.929,5,-6.03,0,0.0447,0.063,0.00796,0.318,0.604,136.482,pop,1,0,0,0,0,0,0
Blu Cantrell,Hit 'Em Up Style (Oops!),24,250706,FALSE,2001,71,0,0.667,0.773,5,-4.983,0,0.0586,0.201,0,0.404,0.667,89.976,"pop, R&B",1,0,0,0,0,1,0
Britney Spears,I'm a Slave 4 U,15,203600,FALSE,2001,69,0,0.847,0.843,5,-3.579,0,0.106,0.415,0.000134,0.107,0.963,110.027,pop,1,0,0,0,0,0,0
Kylie Minogue,In Your Eyes,12,197826,FALSE,2001,62,0,0.689,0.894,6,-6.342,0,0.0672,0.133,4.72E-05,0.0681,0.709,123.971,"pop, Dance/Electronic",1,0,0,1,0,0,0
Missy Elliott,One Minute Man (feat. Ludacris),31,252986,TRUE,2001,57,0,0.622,0.669,9,-8.419,1,0.329,0.0266,2.97E-06,0.152,0.57,93.839,"hip hop, pop, R&B",1,0,1,0,0,1,0
Mary J. Blige,Family Affair,13,265866,FALSE,2001,76,1,0.911,0.551,8,-3.75,0,0.0449,0.132,4.12E-05,0.0863,0.969,92.887,"pop, R&B",1,0,0,0,0,1,0
Faithless,We Come 1 - Radio Edit,22,222435,FALSE,2015,53,0,0.645,0.903,5,-10.587,0,0.0441,0.00188,0.799,0.147,0.61,135.977,"pop, Dance/Electronic",1,0,0,1,0,0,0
Limp Bizkit,Rollin' (Air Raid Vehicle),26,213760,TRUE,2000,73,0,0.603,0.933,1,-3.358,1,0.171,0.00591,0,0.206,0.709,96.306,metal,0,0,0,0,0,0,0
Lasgo,Something,9,220973,FALSE,2001,65,0,0.643,0.981,7,-6.644,0,0.0439,0.0271,8.93E-05,0.11,0.38,140.01,pop,1,0,0,0,0,0,0
iio,Rapture (feat.Nadia Ali),24,253586,FALSE,2006,54,0,0.661,0.855,8,-8.403,1,0.0377,0.0722,0.0185,0.199,0.601,123.943,Dance/Electronic,0,0,0,1,0,0,0
Emma Bunton,What Took You So Long?,22,241000,FALSE,2001,54,0,0.668,0.772,9,-5.4,0,0.0307,0.123,0,0.341,0.911,118.011,pop,1,0,0,0,0,0,0
112,It's Over Now,13,264933,FALSE,2001,57,0,0.66,0.71,1,-4.541,1,0.0409,0.0106,7.01E-06,0.0736,0.233,97.988,"hip hop, pop, R&B",1,0,1,0,0,1,0
Blue,All Rise,8,223546,FALSE,2001,63,0,0.721,0.737,5,-2.734,0,0.0324,0.121,0,0.165,0.931,97.996,pop,1,0,0,0,0,0,0
Jessica Simpson,Irresistible,12,194026,FALSE,2001,43,0,0.657,0.965,8,-2.771,0,0.0556,0.0285,8.84E-05,0.0552,0.669,93.013,"pop, R&B",1,0,0,0,0,1,0
Crazy Town,Butterfly,9,216733,FALSE,1999,71,0,0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,"rock, metal",0,1,0,0,0,0,0
Michael Jackson,You Rock My World,17,337733,FALSE,2001,64,0,0.854,0.673,4,-3.132,0,0.185,0.038,0.000227,0.255,0.955,95,"pop, R&B",1,0,0,0,0,1,0
Eve,Let Me Blow Ya Mind,19,230133,TRUE,2001,73,0,0.908,0.557,8,-4.243,0,0.107,0.242,0,0.0709,0.897,90.032,"hip hop, pop, R&B",1,0,1,0,0,1,0
Jennifer Lopez,Ain't It Funny,14,246160,FALSE,2001,0,0,0.707,0.869,5,-4.525,0,0.0481,0.104,0.000121,0.0813,0.621,99.825,"hip hop, pop, R&B",1,0,1,0,0,1,0
Brandy,Another Day in Paradise - R&B-Version,37,271626,FALSE,2002,50,0,0.7,0.787,6,-5.176,0,0.0327,0.00666,3.68E-05,0.0724,0.556,102.043,"hip hop, pop, R&B",1,0,1,0,0,1,0
Nickelback,How You Remind Me,17,223840,FALSE,2001,78,1,0.446,0.764,10,-5.042,1,0.033,0.00135,0,0.099,0.543,172.094,"rock, metal",0,1,0,0,0,0,0
Daft Punk,One More Time,13,320357,FALSE,2001,76,1,0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,"hip hop, Dance/Electronic",0,0,1,1,0,0,0
Outkast,Ms. Jackson,11,270506,TRUE,2000,82,1,0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,"hip hop, pop",1,0,1,0,0,0,0
Fragma,Everytime You Need Me - Radio Version,37,213346,FALSE,2001,50,0,0.682,0.917,11,-5.459,0,0.0318,0.15,0.0676,0.34,0.79,137.029,"pop, Dance/Electronic",1,0,0,1,0,0,0
Mariah Carey,Loverboy,8,229173,FALSE,2001,42,0,0.721,0.79,1,-4.125,1,0.124,0.183,0,0.1,0.821,103.141,"pop, R&B",1,0,0,0,0,1,0
Dido,Thank You,9,218360,FALSE,1999,73,0,0.725,0.583,1,-9.942,0,0.0427,0.3,0.000238,0.0665,0.762,79.984,pop,1,0,0,0,0,0,0
Joe,Stutter (feat. Mystikal) - Double Take Remix,44,213026,FALSE,2000,57,0,0.767,0.759,6,-6.516,1,0.117,0.0513,0,0.31,0.677,89.989,"pop, R&B",1,0,0,0,0,1,0
P.O.D.,Youth of the Nation,19,256240,FALSE,2001,69,0,0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,"rock, metal",0,1,0,0,0,0,0
Jennifer Lopez,Play,4,211493,TRUE,2001,57,0,0.775,0.729,1,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719,"hip hop, pop, R&B",1,0,1,0,0,1,0
Missy Elliott,Get Ur Freak On,15,211120,TRUE,2001,68,0,0.797,0.75,0,-9.369,1,0.247,0.533,0.108,0.095,0.74,177.87,"hip hop, pop, R&B",1,0,1,0,0,1,0
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),51,252706,FALSE,2008,52,0,0.635,0.854,10,-5.02,0,0.0612,0.00579,0.0083,0.0623,0.59,100.851,"pop, latin",1,0,0,0,0,0,1
Christina Milian,AM To PM,8,231213,FALSE,2001,60,0,0.872,0.868,10,-3.036,0,0.12,0.153,2.26E-05,0.843,0.822,105.005,"hip hop, pop, R&B",1,0,1,0,0,1,0
Roger Sanchez,Another Chance,14,452906,FALSE,2000,50,0,0.61,0.82,3,-10.029,1,0.0312,0.000211,0.146,0.138,0.45,127.993,Dance/Electronic,0,0,0,1,0,0,0
