artist,song,song_name_len,duration_ms,explicit,year,popularity,hot,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,pop,rock,hiphop,dance,folk,rnb,latin
Bruno Mars,Talking to the Moon,19,217866,FALSE,2010,76,1,0.498,0.59,1,-4.721,0,0.032,0.511,0,0.107,0.0784,145.867,pop,1,0,0,0,0,0,0
Miley Cyrus,Can't Be Tamed,14,168213,FALSE,2010,0,0,0.63,0.91,11,-2.919,0,0.144,0.0287,0,0.196,0.743,116.98,pop,1,0,0,0,0,0,0
Mike Posner,Cooler Than Me - Single Mix,27,213293,FALSE,2010,75,0,0.768,0.82,7,-4.63,0,0.0474,0.179,0,0.689,0.625,129.965,"hip hop, pop, Dance/Electronic",1,0,1,1,0,0,0
Lady Gaga,Telephone,9,220640,FALSE,2009,69,0,0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,pop,1,0,0,0,0,0,0
Yolanda Be Cool,We No Speak Americano (JT Radio Edit),37,157438,FALSE,2010,1,0,0.901,0.805,6,-5.005,1,0.0464,0.0712,0.0812,0.0923,0.737,124.996,Dance/Electronic,0,0,0,1,0,0,0
Rihanna,Hard,4,250600,TRUE,2009,55,0,0.31,0.746,1,-3.599,1,0.111,0.0121,0,0.649,0.163,182.032,"hip hop, pop, R&B",1,0,1,0,0,1,0
Tinie Tempah,Pass Out,8,268053,TRUE,2010,53,0,0.693,0.891,1,-3.261,1,0.296,0.0281,0,0.143,0.532,91.1,"hip hop, pop, Dance/Electronic",1,0,1,1,0,0,0
Adam Lambert,Whataya Want from Me,20,227320,FALSE,2009,57,0,0.438,0.672,11,-4.706,0,0.0429,0.0055,0,0.0583,0.457,185.934,pop,1,0,0,0,0,0,0
Trey Songz,Bottoms Up (feat. Nicki Minaj),30,242013,TRUE,2010,0,0,0.845,0.601,1,-5.283,1,0.161,0.0205,0,0.385,0.329,74.008,"hip hop, pop, R&B",1,0,1,0,0,1,0
Timbaland,If We Ever Meet Again (Featuring Katy Perry),44,292706,FALSE,2009,68,0,0.652,0.605,8,-7.371,1,0.0393,0.00481,0,0.0605,0.394,126.091,"hip hop, pop, R&B",1,0,1,0,0,1,0
Enrique Iglesias,I Like It,9,231373,FALSE,2010,63,0,0.648,0.942,10,-2.881,0,0.0878,0.021,0,0.0594,0.73,129.007,"pop, latin",1,0,0,0,0,0,1
